第2186回	2013年12月29日	長崎県	六角精児	「五島列島 海の果ての『奇蹟の島』」	見所	お得	アラカルト
第2185回	2013年12月22日	静岡県	渡辺 徹	「富士山で勝手に世界遺産」	見所	お得	アラカルト
第2184回	2013年12月8日	京都府	高島礼子	「高島礼子の京都スペシャル1　
京風 極上のクリスマス！」	見所	お得	アラカルト
第2183回	2013年12月2日	京都府	高島礼子	「高島礼子の京都スペシャル2　
錦を食べる 錦に遊ぶ」	見所	お得	アラカルト
第2182回	2013年11月24日	和歌山県	永島敏行	「清流・古座川 火振り漁とゆずの里」	見所	お得	アラカルト
第2181回	2013年11月17日	佐賀県	森末慎二	「干潟体験 ムツゴロウに挑戦！」	見所	お得	アラカルト
第2180回	2013年11月10日	沖縄県	室井 滋	「シーサーと長寿おばぁ」	見所	お得	アラカルト
第2179回	2013年11月3日	和歌山県	原田龍二	「高野山の里山に生きる」	見所	お得	アラカルト
第2178回	2013年10月27日	三重県	京野ことみ	「秋の伊勢 食の王国 歴史ロマン」	見所	お得	 
第2177回	2013年10月20日	北海道	原 日出子	「開拓者たちの楽園」	見所	お得	アラカルト
第2176回	2013年10月13日	岩手県	佐藤正宏	「笑顔の配達人三陸へ」	見所	お得	アラカルト
第2175回	2013年10月6日	三重県	渡辺 正行	「炙(あぶ)って食べて 人情港町」	見所	お得	 
第2174回	2013年9月27日	兵庫県	竹内海南江	「謎の巨大遺跡と世界遺産」	 見所	お得	
第2173回	2013年9月22日	秋田県	田山涼成	「秋田 大地の息吹 なまはげの里」	 見所	 お得	 
第2172回	2013年9月15日	鹿児島県	下條アトム	「奄美の 美人唄者(うたしゃ)に出会ったぁ」	 見所	 お得	 
第2171回	2013年9月8日	東京都	緒形直人	「いってらっしゃい 小笠原！
世界遺産の島に住む」	 見所	 お得	 
第2170回	2013年9月1日	秋田県	加藤紀子	「秋田名物 母（か）っちゃの味」	 見所	 お得	 
第2169回	2013年8月18日	大分県	相島一之	「豊後の城下町　夏風情と海の幸」	 見所	 お得	 
第2168回	2013年8月11日	京都府	永 六輔	「笑う京都に！福来たる 2」	 見所	 お得	 
第2167回	2013年8月4日	大分県	八代亜紀	「国東半島 私の昭和ブルース」	 見所	 お得	 
第2166回	2013年7月28日	山梨県	えなりかずき	「えなり君 in 山梨 絶品の味と技」	 見所	 お得	 
第2165回	2013年7月21日	京都府	永 六輔	「笑う京都に！ 福来たる」	 見所	 お得	 
第2164回	2013年7月14日	青森県	夢枕 獏	「下北半島は小説よりも奇なり」	 見所	 お得	 
第2163回	2013年7月7日	山梨県	田中要次	「オレ流！富士山攻略術！」	 見所	 お得	 
第2162回	2013年6月30日	滋賀県	岡本信人	「琵琶湖 ハンティングワールド」	 見所	 お得	 
第2161回	2013年6月23日	広島県	蛭子能収	「江戸を残す港町 鞆の浦に遊ぶ」	 見所	 お得	 
第2160回	2013年6月16日	長野県	竹下景子	「竹下景子の ザ・上高地 
標高1500ｍの路」	 見所	 お得	 
第2159回	2013年6月9日	東京都	酒井 美紀	「奥多摩ミステリーツアー」	 見所	 お得	 
第2158回	2013年6月2日	広島県	近藤正臣	「安芸の小粋な江戸咄」	 見所	 お得	 
第2157回	2013年5月26日	高知県	ベンガル	「仁淀川 清流の恵み 天界の山里」	 見所	 お得	 
第2156回	2013年5月19日	奈良県	原田龍二	「奈良 天空に暮らす人々」	 見所	 お得	 
第2155回	2013年5月12日	石川県	ピーコ	「ピーコが行く 加賀百万石」	 見所	 お得	 
第2154回	2013年5月5日	愛媛県	原日出子	「五月のコイの城下町」	 見所	 お得	 
第2153回	2013年4月28日	宮崎県	小倉久寛	「南宮崎 海と山の春だより」	 見所	 お得	 
第2152回	2013年4月21日	山形県	渡辺正行	「春と遊ぼう山形路」	 見所	 お得	 
第2151回	2013年4月14日	宮崎県	有森 裕子	「日向の国の旬紀行 2013年・春」	 見所	 お得	 
第2150回	2013年4月7日	東京、京都	佐藤 正宏	「東海道本線 乗り継ぎ青春18きっぷ」	 見所	 お得	 
第2149回	2013年3月29日	沖縄県	篠原ともえ	「西表島で遊ぶ！創る！」	 見所	 お得	 
第2148回	2013年3月24日	宮城県	山口馬木也	「蔵王 樹氷と秘湯の隠れ里」	 見所	 お得	 
第2147回	2013年3月17日	北海道	武田修宏	「冬限定　オホーツクの町」	 見所	 お得	 
第2146回	2013年3月10日	京都府	加藤紀子	「丹後半島 舟屋の美味しい暮らし」	 見所	 お得	 
第2145回	2013年3月3日	宮城県	赤井 英和	「南三陸 俺たちの大好きな故郷」	 見所	 お得	 
第2144回	2013年2月24日	熊本県	田山涼成	「冬の阿蘇 心ほっこり旬の味」	 見所	 お得	 
第2143回	2013年2月17日	長野県	室井滋	「戸隠高原 冬の名物 そばの里」	 見所	 お得	 
第2142回	2013年2月10日	岡山県	原田龍二	「瀬戸内 歴史の港町お宝探し」	 見所	 お得	 
第2141回	2013年2月3日	熊本県	竹下景子	「肥後の国　小京都発秘境行き」	 見所	 お得	 
第2140回	2013年1月27日	鹿児島県	阿藤快	「これぞ薩摩のいっこもん」	 見所	 お得	 
第2139回	2013年1月20日	香川県	神保悟志	「讃岐名物おいしい漫遊記」	 見所	 お得	 
第2138回	2013年1月13日	山梨県	佐藤正宏	「温故知新！ワインの里のモノ作り」	 見所	 お得	 
第2137回	2013年1月6日	鹿児島県	原日出子	「美味しい！大自然が作る南九州の美味」	 見所	 お得	 

　　旅の情報　2012年放送分
一覧に戻る
第2022回	2010年9月5日	長野県	田中健	「笑顔の信州・飯田線の旅」	 	 
第2021回	2010年8月22日	鳥取県	石倉三郎	「美味絶景　夏の日本海in鳥取」	 	 
第2020回	2010年8月15日	長崎県	朝岡聡	「長崎 八月のマリア 島の教会」	 	 
第2019回	2010年8月8日	岩手県	益子直美	「陸中海岸 絶品の味作る人」	 	 
第2018回	2010年8月1日	鳥取県	森野熊八	「夏の鳥取 まんぷく食堂」	 	 
第2017回	2010年7月25日	徳島県	阿藤快	「阿波・祖谷　天空の山里」	 	 
第2016回	2010年7月18日	群馬県	丹波義隆	「草津・温泉と高原と宝の山」	 	 
第2015回	2010年7月11日	沖縄県	加藤登紀子	「沖縄 島の心島の暮らし」	 	 
第2014回	2010年7月4日	高知県	宮崎美子	「予土線 四万十川と旅する」	 	 
第2013回	2010年6月27日	山梨県	川口和久	「甲州路　蕎麦と積木とグライダー」	 	 
第2012回	2010年6月20日	大分県	平野　文	「豊後日田 水と土 職人の技」	 	 
第2011回	2010年6月13日	長野県	浅井愼平、本山賢司	「信州の自然とあそぼ」	 	 
第2010回	2010年6月6日	山梨県	志垣太郎	「富士山麓　笑顔の人々」	 	 
第2009回	2010年5月30日	岐阜県	藤木勇人	「白川郷　春のカタログ」	 	 
第2008回	2010年5月23日	北海道	中本賢	「北海道　遊びと味覚のフルコース」	 	 
第2007回	2010年5月16日	福島県	ダ・カーポ	「会津　城下町の暮しと技」	 	 
第2006回	2010年5月9日	山口県	原田大二郎	春の山口 僕の田舎」	 	 
第2005回	2010年5月2日	北海道	森末慎二	留萌本線 ニシンにかける港町」	 	 
第2004回	2010年4月25日	鹿児島県	長谷川初範	薩摩路　春の祭りと旬の味」	 	 
第2003回	2010年4月18日	千葉県	ジミー大西	南房総　春の人模様」	 	 
第2002回	2010年4月11日	富山県	宮本隆治	「富山　今と昔と海の幸」	 	 
第2001回	2010年4月4日	鹿児島県	大地康雄	「笑顔と会えた　指宿の春」	 	 
第2000回	2010年3月28日	秋田県、青森、神奈川、静岡	丹波義隆、益子直美	「2000回記念 日本の情景　ローカル線の旅」	 	 
第1999回	2010年3月21日	奈良県	古村比呂	「大和路　懐かしい日本の面影」	 	 
第1998回	2010年3月14日	静岡県	石丸謙二郎	「焼津　魚の町の新名物」	 	 
第1997回	2010年3月7日	奈良県	チェンミン	「奈良　古都に響く音」	 	 
第1996回	2010年2月28日	栃木県	市毛良枝	「日光路 蔵の町 江戸風情」	 	 
第1995回	2010年2月21日	岡山県	勝野洋	「吉備の国 港町ものがたり」	 	 
第1994回	2010年2月14日	山形県	丹波義隆	「銀山温泉　冬の暮らし」	 	 
第1993回	2010年2月7日	栃木県	森末慎二	「冬のお勧め　世界の日光」	 	 
第1992回	2010年1月31日	高知県	阿藤快	「冬の四万十　いごっそうが創る味」	 	 
第1991回	2010年1月24日	福岡県	池内万作	「北九州 レトロな町の腕自慢」	 	 
第1990回	2010年1月17日	島根県	角田光代	「八雲の松江 秘密の贅沢」	 	 
第1989回	2010年1月10日	愛媛県	篠井英介	「伊予の歳時記 寅年に願いを」	 	 

↑上へ戻る


　　旅の情報　2009年放送分
一覧に戻る
第1988回	2009年12月27日	京都府	黒田福美	「京・風雅な暮らし　茶の神髄」	 	 
第1987回	2009年12月20日	岩手県	高石ともや	「遠野から 父への旅」	 	 
第1986回	2009年12月13日	兵庫県	下條アトム	「神戸・下町・味な町」	 	 
第1985回	2009年12月6日	京都府	林家きく姫	「京の暮し　路地裏巡り」	 	 
第1984回	2009年11月29日	長野県	益子直美	「旅からの贈物in諏訪」	 	 
第1983回	2009年11月22日	茨城県	渡辺 哲	「常陸　ふる里再生　凄腕の職人」	 	 
第1982回	2009年11月15日	滋賀県	伊藤かずえ	「琵琶湖の秋・水物語」	 	 
第1981回	2009年11月8日	福島県	丹波義隆	「桧枝岐～尾瀬 晩秋の山里」	 	 
第1980回	2009年11月1日	茨城県	勝野洋	「茨城 つくりびと・味な旅」	 	 
第1979回	2009年10月25日	三重県	パンチ佐藤	｢伊勢路　絶品の味に技の伝統」	 	 
第1978回	2009年10月18日	大分県	平野文	「40年目の小京都 味巡り２」	 	 
第1977回	2009年10月11日	三重県	宮本隆治	「実況中継 私の志摩半島」	 	 
第1976回	2009年10月4日	福井県	森野熊八	「40年目の小京都 味巡り1」	 	 
第1975回	2009年9月27日	新潟県	川野太郎	「佐渡の島旅　自然流　味の絶品」	 	 
第1974回	2009年9月20日	福井県	古今亭志ん輔	「越前　昔探し城下町・港町」	 	 
第1973回	2009年9月13日	青森県	原田大二郎	「これぞ日本一！ 八戸の山車祭り」	 	 
第1972回	2009年9月6日	新潟県	篠井英介	「越後　角突き街道を行く」	 	 
第1971回	2009年8月23日	鳥取県	中本賢	「この夏一番　鳥取ふる里体験」	 	 
第1970回	2009年8月16日	鹿児島県	丹波義隆	「日食の島のワイドショー」	 	 
第1969回	2009年8月9日	広島県	西村由紀江	「広島　今も聞こえる「あの夏」」	 	 
第1968回	2009年8月2日	鳥取県	宮崎美子	「名産発掘　生き生き鳥取」	 	 
第1967回	2009年7月26日	熊本県	田中 実	「ＳＬ浪漫　肥後の夏色レトロ旅」	 	 
第1966回	2009年7月19日	富山県	佐藤正宏	「越中高岡 400年の技そして今」	 	 
第1965回	2009年7月12日	秋田県	志垣太郎	「角館　生命の森・伝統の技」	 	 
第1964回	2009年7月5日	熊本県	萩尾みどり	「肥後の宝　水の恵み」	 	 
第1963回	2009年6月28日	山梨県	大八木淳史	「富士山麓　樹海の神秘体験」	 	 
第1962回	2009年6月21日	埼玉県	香田 晋	「秩父路便り 好きこそ一番」	 	 
第1961回	2009年6月14日	東京都	森野熊八	「八丈島　ごちそうの宝島」	 	 
第1960回	2009年6月7日	山梨県	益子直美	「八ヶ岳山麓　森の中の匠たち」	 	 
第1959回	2009年5月31日	静岡県	丹波義隆	「駿河路　春色・桜に緑」	 	 
第1958回	2009年5月24日	神奈川県	大林素子	「開港150年・知られざる横浜」	 	 
第1957回	2009年5月17日	佐賀県	荒俣 宏	「荒俣先生の 佐賀古代散歩」	 	 
